GRIDMET_ID,LAT,LON,ELEV_M,ELEV_FT,FIPS_C,STPO,COUNTYNAME,CNTYCATEGO,STATENAME,HUC8
387098,36.69166086,-107.9333229,1701.04,5580.84,35045,NM,San Juan,County,New Mexico,14080101
467476,39.10832723,-108.3499892,1513.2,4964.57,8077,CO,Mesa,County,Colorado,14010005
473008,39.27499391,-108.8499891,1426.92,4681.5,8077,CO,Mesa,County,Colorado,14010005
511799,40.44166049,-109.5583221,1679.24,5509.32,49047,UT,Uintah,County,Utah,14060010
581084,42.52499363,-110.1833217,2130.36,6989.37,56035,WY,Sublette,County,Wyoming,14040101
605776,43.27500000,-120.8499999,1314.72,4313.39,41037,OR,Lake,County,Oregon,17120005
661167,44.94166667,-122.8916666,69.1667,226.925,41047,OR,Marion,County,Oregon,17090009
686149,45.69166667,-121.4749999,231.84,760.63,41027,OR,Hood River,County,Oregon,17070105
688961,45.77500000,-119.8083333,179.20,587.927,41049,OR,Morrow,County,Oregon,17070101
564161,42.02499472,-122.3083195,1116.6,3663.39,41029,OR,Jackson,County,Oregon,18010206
565566,42.06666132,-121.516653,1370.36,4495.93,41035,OR,Klamath,County,Oregon,18010204
